Artist,Song,Original Name,Original Row
Swedish House Mafia,One,Swedish House Mafia - One (Original Mix).ogg,8634
Led Zeppelin,D'Yer Mak'er,Led Zeppelin - D'Yer Mak'er.ogg,5330
The Byrds,All I Really Want To Do,The Byrds - All I Really Want To Do.ogg,8923
Dead or Alive,You Spin Me Round,You Spin Me Round by Dead or Alive.ogg,10090
Talking Heads,Once in a Lifetime,Talking Heads - Once in a Lifetime.ogg,8713
Shara Nelson,Nobody,Shara Nelson - Nobody.ogg,8056
Ricky Martin,Hagamos El Amor,Ricky Martin - Hagamos El Amor.ogg,7499
Fozzy,Enemy,Fozzy - Enemy.ogg,3295
Taylor Swift,Picture to Burn,Taylor Swift - Picture to Burn.ogg,8749
Nicola Roberts,Lucky Day,Nicola Roberts - Lucky Day.ogg,6616
Chris Brown,Yeah 3x,Chris Brown - Yeah 3x.ogg,2050
Blink 182,Stockholm Syndrome,Blink 182 - Stockholm Syndrome.ogg,1438
Queen,Crazy Little Thing Called Love,Queen - Crazy Little Thing Called Love.ogg,7253
Status Quo,Whatever You Want,Status Quo - Whatever You Want.ogg,8425
Ricky Martin,Perdido Sin Ti,Ricky Martin - Perdido Sin Ti sample.ogg,7509
Genesis,The Brazilian,Genesis - The Brazilian.ogg,3467
Enter Shikari,Sssnakepit,Enter Shikari - Sssnakepit.ogg,3018
Giuseppe Di Stefano,Firenze Sogna,Giuseppe Di Stefano - Firenze Sogna (1955).ogg,3557
Notorious B.I.G.,Juicy,Notorious B.I.G. - Juicy.ogg,6715
Fleetwood Mac,Go Your Own Way,Fleetwood Mac - Go Your Own Way sample.ogg,3225
Rihanna,Russian Roulette,Rihanna - Russian Roulette.ogg,7561
Leona Lewis,Homeless,Leona Lewis - Homeless.ogg,5358
The Moody Blues,Nights In White Satin,The Moody Blues - Nights In White Satin.ogg,9092
Toby Love,Tengo Un Amor,Toby Love - Tengo Un Amor.ogg,9324
Wang Chung,Dance Hall Days,Wang Chung - Dance Hall Days.ogg,9775
Marvin Gaye,What's Going On,Marvin Gaye - What's Going On.ogg,6002
R.E.M.,Fall on Me,R.E.M. - Fall on Me.ogg,7279
Korpiklaani,Wooden Pints,Korpiklaani - Wooden Pints.ogg,5138
Genesis,The Lady Lies,Genesis - The Lady Lies.ogg,3468
Exposé,Seasons Change,Exposé - Seasons Change (sample).ogg,3095
Blondie,Dreaming,Blondie - Dreaming.ogg,1451
Ke$ha,Blow,Ke$ha - Blow.ogg,4918
Jim Jones,We Fly High,Jim Jones - We Fly High.ogg,4566
The Byrds,Chestnut Mare,The Byrds - Chestnut Mare.ogg,8926
Jamiroquai,Virtual Insanity,Jamiroquai - Virtual Insanity.ogg,4454
Juan Gabriel,Hasta Que Te Conocí,Juan Gabriel - Hasta Que Te Conocí.ogg,4758
Britney Spears,Stronger,Britney Spears - Stronger.ogg,1672
Kelly Rowland,Commander,Kelly Rowland - Commander (feat. David Guetta).ogg,4970
Kesha,Take It Off,Kesha - Take It Off.ogg,5000
Dawn Richard,Gleaux,Dawn Richard - Gleaux.ogg,2444
Rihanna,Cockiness,Rihanna - Cockiness (Love It).ogg,7540
Thelonious Monk Quartet,In Walked Bud,Thelonious Monk Quartet - In Walked Bud.ogg,9213
Zero 7,Destiny,Zero 7 - Destiny.ogg,10135
Girls' Generation,Mr.Mr.,Girls' Generation - Mr.Mr. (song sample).ogg,3546
David Bowie,Kooks,David Bowie - Kooks.ogg,2416
ESG,Moody,ESG - Moody sample.ogg,2856
Ciara,Work,Ciara - Work.ogg,2089
Kelis,Scream,Kelis - Scream.ogg,4939
I-F,Space Invaders Are Smoking Grass,I-F - Space Invaders Are Smoking Grass.ogg,4167
Pitbull,I Know You Want Me,Pitbull - I Know You Want Me (Calle Ocho).ogg,7101
Stereophonics,Take Me,Stereophonics - Take Me (audio sample).ogg,8443
Garbage,Only Happy When it Rains,Garbage - Only Happy When it Rains.ogg,3434
Azealia Banks,Wallace,Azealia Banks - Wallace.ogg,787
Swervedriver,Rave Down,Swervedriver - Rave Down.ogg,8645
Metallica,Creeping Death,Metallica - Creeping Death.ogg,6107
Taylor Swift,22,Taylor Swift - 22 (song sample).ogg,8730
Anthrax,Caught in a Mosh,Anthrax - Caught in a Mosh.ogg,624
Bob Dylan,Chimes Of Freedom,Bob Dylan - Chimes Of Freedom.ogg,1496
Taylor Swift,Welcome to New York,Taylor Swift - Welcome to New York.ogg,8757
Porcupine Tree,Way Out of Here,Porcupine Tree - Way Out of Here.ogg,7154
Britney Spears,Crazy,Britney Spears - (You Drive Me) Crazy (The Stop Remix !).ogg,1651
Miley Cyrus,Party In The USA,Miley Cyrus - Party In The USA.ogg,6199
Ke$ha,C'Mon,Ke$ha - C'Mon.ogg,4919
Madonna,Rescue Me,Madonna - Rescue Me.ogg,5756
Madness,Michael Caine,Madness - Michael Caine.ogg,5732
Luis Miguel,Ayer,Luis Miguel - Ayer.ogg,5658
Blondie,No Exit,Blondie - No Exit.ogg,1454
Led Zeppelin,Dancing Days,Led Zeppelin - Dancing Days.ogg,5331
Panic at the Disco,New Perspective,Panic at the Disco - New Perspective.ogg,6938
Genesis,Deep In The Motherlode,Genesis - Deep In The Motherlode.ogg,3461
Michael Jackson,You Are Not Alone,Michael Jackson - You Are Not Alone.ogg,6152
Super Furry Animals,Fire In My Heart,Super Furry Animals - Fire In My Heart.ogg,8570
Led Zeppelin,The Ocean,Led Zeppelin - The Ocean.ogg,5336
Rihanna,Don't Stop the Music,Rihanna - Don't Stop the Music.ogg,7545
Janet Jackson,Rhythm Nation,Janet Jackson - Rhythm Nation.ogg,4480
Radiohead,Pyramid Song,Radiohead - Pyramid Song (sample).ogg,7319
Katy Perry,Roar,Katy Perry - Roar.ogg,4915
Hooverphonic,Mad About You,Hooverphonic - Mad About You.ogg,4000
Chuck Berry,Maybellene,Chuck Berry - Maybellene.ogg,2082
Lily Allen,Shame For You,Lily Allen - Shame For You.ogg,5437
Eraserheads,Ligaya,Eraserheads - Ligaya.ogg,3034
Flyleaf,Again,Flyleaf - Again.ogg,3268
Alicia Keys,Put It In A Love Song,Alicia Keys - Put It In A Love Song.ogg,452
,Crazy in Love,Crazy in Love (Beyoncé song - sample).ogg,2278
Luis Miguel,Dormir Contigo,Luis Miguel - Dormir Contigo.ogg,5661
Van Halen,Jump,Jump by Van Halen.ogg,4785
Kelly Clarkson,Someone,Kelly Clarkson - Someone.ogg,4963
Ke$ha,The Harold Song,Ke$ha - The Harold Song.ogg,4925
Amy Winehouse,Rehab,Amy Winehouse - Rehab sample.ogg,561
The Byrds,Old John Robertson,The Byrds - Old John Robertson.ogg,8938
Avril Lavigne,Keep Holding On,Avril Lavigne - Keep Holding On.ogg,760
Europe,Seven Doors Hotel,Europe - Seven Doors Hotel.ogg,3060
,Title,Title.ogg,9311
Dick Dale,Misirlou,Dick Dale - Misirlou.ogg,2619
Misfits,Attitude,Misfits - Attitude sample.ogg,6231
Delerium,Silence,Delerium - Silence.ogg,2552
Queensryche,I Am I,Queensryche - I Am I.ogg,7267
,Happy,Happy (Pharrell Williams song - sample).ogg,3835
The Byrds,I'll Feel A Whole Lot Better,The Byrds - I'll Feel A Whole Lot Better.ogg,8933
Radiohead,Creep,Radiohead - Creep (sample).ogg,7316
Thirty Seconds to Mars,Up in the Air,Thirty Seconds to Mars - Up in the Air.ogg,9252
The Cranberries,Zombie,The Cranberries - Zombie.ogg,8978
Madonna,Don't Tell Me,Madonna - Don't Tell Me.ogg,5739
Architects,Devil's Island,Architects - Devil's Island.ogg,656
Misfits,Last Caress,Misfits - Last Caress sample.ogg,6237
Baauer,Harlem Shake,Baauer - Harlem Shake.ogg,836
Ne-Yo,Let Me Love You,Ne-Yo - Let Me Love You (Until You Learn to Love Yourself).ogg,6548
Coldplay,Speed of Sound,Coldplay - Speed of Sound.ogg,2186
Girls' Generation,Run Devil Run,Girls' Generation - Run Devil Run (Korean).ogg,3551
Rise Against,Give It All,Rise Against - Give It All.ogg,7605
Jimmy Eat World,Work,Jimmy Eat World - Work.ogg,4573
Carly Rae Jepsen,Both Sides Now,Carly Rae Jepsen - Both Sides Now.ogg,1885
Led Zeppelin,Ramble On,Ramble On by Led Zeppelin.ogg,7349
Kid Rock,All Summer Long,Kid Rock - All Summer Long.ogg,5017
Mariah Carey,Butterfly,Mariah Carey - Butterfly.ogg,5910
Shara Nelson,Rough With The Smooth,Shara Nelson - Rough With The Smooth.ogg,8058
Jimi Hendrix Experience,Voodoo Child,Voodoo Child (Slight Return) by Jimi Hendrix Experience.ogg,9692
David Byrne and Brian Eno,Strange Overtones,David Byrne and Brian Eno - Strange Overtones.ogg,2431
Coldplay,The Scientist,Coldplay - The Scientist.ogg,2187
Billy Idol,Eyes Without a Face,Eyes Without a Face by Billy Idol.ogg,3101
My Bloody Valentine,In Another Way,My Bloody Valentine - In Another Way.ogg,6471
DJ Jazzy Jeff & The Fresh Prince,Parents Just Don't Understand,DJ Jazzy Jeff & The Fresh Prince - Parents Just Don't Understand.ogg,2326
Rihanna,S&M,Rihanna - S&M.ogg,7562
Taylor Swift,You Belong with Me,You Belong with Me by Taylor Swift.ogg,10072
Jason Aldean,Don't You Wanna Stay,Jason Aldean - Don't You Wanna Stay (Sample).ogg,4492
The Byrds,Time Between,The Byrds - Time Between.ogg,8947
Jordin Sparks & Chris Brown,No Air,Jordin Sparks & Chris Brown - No Air.ogg,4740
Passenger,Let Her Go,Passenger - Let Her Go.ogg,6976
Hall & Oates,Out of Touch,Hall & Oates - Out of Touch.ogg,3796
Pia Mia,Do It Again,Pia Mia - Do It Again.ogg,7046
Linkin Park,Somewhere I Belong,Linkin Park - Somewhere I Belong.ogg,5459
Petula Clark,Downtown,Downtown by Petula Clark.ogg,2753
Dannii Minogue,So Under Pressure,Dannii Minogue - So Under Pressure.ogg,2384
Lady Gaga,G.U.Y.,Lady Gaga - G.U.Y. sample.ogg,5255
Bob Dylan,The Times They Are a-Changin',Bob Dylan - The Times They Are a-Changin'.ogg,1508
